City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
3,Rikitea,PF,75.04,light rain,-23.1203,-134.9692,Pension Maro'i
4,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
8,San Patricio,US,89.69,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
11,Atuona,PF,79.95,clear sky,-9.8,-139.0333,Villa Enata
15,Kapaa,US,79.2,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Bubaque,GW,78.06,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
21,Vila,PT,75.74,few clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
26,Starkville,US,75.99,clear sky,33.4504,-88.8184,Hilton Garden Inn Starkville
28,Butaritari,KI,82.85,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
33,Arraial Do Cabo,BR,78.8,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
34,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
35,Guarapari,BR,85.91,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
39,Pindi Bhattian,PK,89.65,clear sky,31.8978,73.273,شاہی دھی بھلےاینڈفرٹ چارٹ
42,Mogadishu,SO,78.57,broken clouds,2.0371,45.3438,Hotel Juba
48,Looc,PH,81.97,overcast clouds,12.2605,121.9926,Cummings Highlands
49,Guantanamo,CU,86.47,few clouds,20.1444,-75.2092,Hotel Guantánamo
50,Sinnamary,GF,81.36,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
55,Melioratorov,RU,75.2,clear sky,57.2107,65.6077,Algorithm hotel
63,Batangafo,CF,79.65,broken clouds,7.3008,18.2833,OCHA Office
66,Medina Del Campo,ES,82.0,overcast clouds,41.3124,-4.9141,Hotel Villa de Ferias
68,Sorong,ID,78.98,overcast clouds,-0.8833,131.25,waigo splash hotel
69,Bhadrachalam,IN,86.68,scattered clouds,17.6667,80.8833,Hotel Srinidhi Residency
74,Chor,PK,87.75,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
78,Odienne,CI,78.24,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
82,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
87,Bahia Honda,CU,83.97,moderate rain,22.9036,-83.1592,Casa Gualberto - Deysi
88,Conakry,GN,86.07,broken clouds,9.538,-13.6773,Riviera Royal Hotel
96,San Policarpo,PH,77.97,overcast clouds,12.1791,125.5072,JM Lodge
99,Lasa,IT,75.2,few clouds,46.6166,10.7002,Pension Feldgärtenhof
103,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
106,Marsh Harbour,BS,79.56,light rain,26.5412,-77.0636,Abaco Beach Resort
109,Nioro,GM,88.47,scattered clouds,13.35,-15.75,
110,Daru,PG,77.97,overcast clouds,-9.0763,143.2092,Daru Lodge
114,Isla Vista,US,77.27,scattered clouds,34.4133,-119.861,Best Western Plus South Coast Inn
116,Victoria,HK,86.38,light rain,22.2855,114.1577,Mini Hotel Central
122,Salmon Creek,US,75.54,clear sky,45.7107,-122.649,La Quinta Inn & Suites by Wyndham Vancouver
127,Hilo,US,78.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
133,Eyl,SO,80.2,overcast clouds,7.9803,49.8164,Amiin Hotel
137,Kavaratti,IN,82.98,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
141,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
142,Gat,IL,78.01,clear sky,31.61,34.7642,OlusHome
145,Hithadhoo,MV,83.52,few clouds,-0.6,73.0833,Scoop Guest House
151,Mangrol,IN,82.76,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
152,Salalah,OM,84.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
154,Kavieng,PG,80.82,moderate rain,-2.5744,150.7967,Nusa Island Retreat
158,Beaumont,US,82.4,clear sky,30.0861,-94.1019,Super 8 by Wyndham Beaumont
160,Rach Gia,VN,80.6,few clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
167,Omboue,GA,76.57,light rain,-1.5746,9.2618,Hotel Olako
179,Bengkulu,ID,76.26,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
180,Sardarpur,IN,81.84,clear sky,22.678,74.9484,Shri Maya Lodge
187,Tecoanapa,MX,89.04,overcast clouds,16.5167,-98.75,Hotel Manglares
193,Trincomalee,LK,82.31,overcast clouds,8.5711,81.2335,Welcombe Hotel
194,Pucallpa,PE,82.44,broken clouds,-8.3791,-74.5539,Hospedaje Komby
197,Rodrigues Alves,BR,88.0,scattered clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
199,Damavand,IR,76.84,clear sky,35.7178,52.065,آپارتمان زمانیان
200,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
201,Shenzhen,CN,86.27,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
207,Sao Joao Da Barra,BR,82.4,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
208,Panama City,PA,87.13,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
212,Carutapera,BR,82.04,clear sky,-1.195,-46.02,Lidera
215,Dwarka,IN,83.1,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
223,Statesboro,US,81.72,broken clouds,32.4488,-81.7832,Holiday Inn Statesboro-University Area
225,Phan Thiet,VN,79.88,clear sky,10.9333,108.1,Hotel Saigon-PT
229,Korla,CN,76.82,clear sky,41.7597,86.1469,Gulisitan Hotel
238,Tonj,SS,82.45,few clouds,7.2737,28.6822,
239,Samarai,PG,79.41,overcast clouds,-10.6167,150.6667,Nuli Sapi
242,Faanui,PF,79.92,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
244,Impfondo,CG,79.95,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
250,Umm Lajj,SA,86.36,clear sky,25.0213,37.2685,Moon light Furnished Units
256,Hobyo,SO,79.34,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
259,Itoman,JP,75.22,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
260,Minab,IR,87.3,clear sky,27.1467,57.0801,Bam campground
262,Houma,US,81.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
263,Mitu,CO,75.04,overcast clouds,1.1983,-70.1733,
264,Caruray,PH,80.71,overcast clouds,10.3094,119.0128,
270,Harper,LR,79.2,light rain,4.375,-7.7169,Screensaver
275,Peniche,PT,76.48,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
278,Lorengau,PG,80.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
281,Takestan,IR,75.16,clear sky,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
288,Labuhan,ID,77.22,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
290,Manta,EC,80.6,broken clouds,-0.95,-80.7333,Balandra Hotel
297,Thinadhoo,MV,83.43,few clouds,0.5333,72.9333,
298,Nurota,UZ,80.69,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
306,Phultala,BD,82.99,overcast clouds,22.7,89.5167,Shuvra enterprise& cafe
311,Aksu,CN,78.28,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
316,Boende,CD,78.55,broken clouds,-0.2167,20.8667,
317,Batticaloa,LK,82.47,overcast clouds,7.7102,81.6924,Grand Star Guest House
322,Gamba,GA,75.87,light rain,-2.65,10.0,
326,San Pedro,PH,83.43,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
328,Mabaruma,GY,79.72,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
330,Barra Patuca,HN,86.88,overcast clouds,15.8,-84.2833,
331,Djambala,CG,78.04,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
332,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
333,Panjakent,TJ,78.6,clear sky,39.4952,67.6093,Salom Hostel
334,Marsa Matruh,EG,86.2,clear sky,31.3525,27.2453,Beau Site
337,Dingle,PH,78.31,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
340,Adjumani,UG,76.68,overcast clouds,3.3779,31.7909,Hotel Zawadi
341,Natal,BR,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
342,Beyneu,KZ,85.78,clear sky,45.3167,55.2,NUR
344,Aitape,PG,77.95,moderate rain,-3.1374,142.3475,
346,Pacific Grove,US,78.8,few clouds,36.6177,-121.9166,Lovers Point Inn
347,Tiznit,MA,78.89,overcast clouds,29.5833,-9.5,
349,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
352,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
353,Mountain Home,US,78.8,clear sky,43.133,-115.6912,Mountain Home Inn
354,Daliao,PH,76.8,moderate rain,5.8611,124.9533,Joel L. Pagaran
356,Acopiara,BR,88.07,scattered clouds,-6.0953,-39.4525,Cantinho do Ceu Hotel
359,Hermiston,US,79.95,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
361,Buala,SB,78.8,light rain,-8.145,159.5921,Maringe Lagoon Lodge
362,Akdepe,TM,89.6,clear sky,42.0551,59.3788,Мой дом
370,Tevaitoa,PF,79.66,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
371,Bani Walid,LY,75.7,scattered clouds,31.7566,13.9942,منزل الصابر أبوفانة
375,Ladario,BR,82.69,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
379,Mulege,MX,89.04,overcast clouds,26.8833,-111.9833,Casa Granada
380,Camopi,GF,81.21,heavy intensity rain,3.1655,-52.3158,
385,Kudahuvadhoo,MV,83.89,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
386,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
390,Boa Vista,BR,76.98,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
391,Chino Valley,US,86.76,clear sky,34.7575,-112.4538,Primrose Inn & Suites
395,Kismayo,SO,78.62,broken clouds,-0.3582,42.5454,Agan-Hotel
398,Manokwari,ID,79.0,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
400,Shache,CN,77.2,overcast clouds,38.4167,77.2406,Delong Hotel
401,Elat,IL,89.6,clear sky,29.5581,34.9482,Club Hotel Eilat
404,Iracoubo,GF,80.87,moderate rain,5.4802,-53.2011,Le Gite D Iracoubo
405,Sao Jose Da Coroa Grande,BR,78.46,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
407,Salinopolis,BR,82.51,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
413,Presidente Medici,BR,88.48,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
414,Tabuk,PH,76.42,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
418,Mattru,SL,76.98,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
419,Pasni,PK,84.02,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
420,Acarau,BR,82.24,clear sky,-2.8856,-40.12,castelo pizzaria
421,Nanakuli,US,78.8,few clouds,21.3906,-158.1547,Camp Pālehua
423,Cagsiay,PH,81.0,overcast clouds,14.2167,121.75,"Sitio Maligaya, Barangay Cagsiay I"
427,Portland,US,76.01,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
428,Gambela,ET,79.81,clear sky,8.25,34.5833,Solomon Debebe Hotel
435,Port Blair,IN,81.9,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
436,Miri,MY,77.0,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
437,Sur,OM,89.82,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
438,Kasongo,CD,75.07,broken clouds,-4.45,26.6667,Guest Hôtel
448,Rockport,US,88.07,few clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
450,Marysville,US,75.43,clear sky,48.0518,-122.1771,"Holiday Inn Express & Suites Marysville, an IHG Hotel"
455,Bontang,ID,78.98,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
456,Gizo,SB,80.58,overcast clouds,-8.103,156.8419,Imagination Island
460,Gorontalo,ID,75.24,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
463,Komsomolskiy,UZ,78.8,scattered clouds,40.4272,71.7189,Ikathouse
465,Hue,VN,84.31,few clouds,16.4667,107.6,Saigon Morin Hotel
467,Kembe,CF,77.65,overcast clouds,4.6228,21.8865,
472,Merauke,ID,75.13,overcast clouds,-8.4667,140.3333,
478,Kota Tinggi,MY,80.6,mist,1.7381,103.8999,Canopy Tribe
479,Salinas,US,79.2,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
483,Marzuq,YE,79.95,clear sky,14.4,46.4667,
485,Concepcion Del Oro,MX,77.65,scattered clouds,24.6333,-101.4167,HOTEL HACIENDA SAN JAVIER
486,Vung Tau,VN,82.36,few clouds,10.345999999999998,107.0843,Green hotel
488,Russell,US,78.91,broken clouds,32.3502,-85.1999,Macs
489,Makakilo City,US,77.68,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
490,Galveston,US,81.0,overcast clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
496,Itarema,BR,81.9,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
497,El Alto,PE,75.2,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
499,Balad,IQ,89.51,scattered clouds,34.0164,44.1453,رضاوي زنوبة
503,Siocon,PH,78.98,light rain,7.7061,122.1353,ABS Hotel
504,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
505,Puerto Baquerizo Moreno,EC,79.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
507,Ouadda,CF,77.68,broken clouds,8.0777,22.4007,
510,Bandarbeyla,SO,79.2,overcast clouds,9.4942,50.8122,JABIR HOTEL
513,Qiongshan,CN,82.38,clear sky,20.0058,110.3542,Sun City Restaurant
515,Prainha,BR,84.58,overcast clouds,-1.8,-53.48,Casa Rocha
517,Teknaf,BD,81.73,overcast clouds,20.8624,92.3058,Forestry Guesthouse
518,Dustlik,UZ,81.7,scattered clouds,40.5247,68.0358,
520,Chandrakona,IN,84.09,overcast clouds,22.7333,87.5167,Roy Mansion 3
521,Lethem,GY,78.22,overcast clouds,3.3803,-59.7968,Savannah Inn
527,Pabna,BD,81.73,moderate rain,24.0,89.25,Hotel Dream Palace International
528,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
530,Kokopo,PG,76.59,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
531,Cururupu,BR,85.03,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
532,Dong Hoi,VN,83.28,overcast clouds,17.4833,106.6,Nam Long Hotel
