City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,San Cristobal,7.7669,-72.225,86.0,66,40,11.5,VE,scattered clouds
1,San Quintin,30.4833,-115.95,65.5,62,40,15.14,MX,scattered clouds
2,Qaanaaq,77.484,-69.3632,32.54,92,100,5.5,GL,overcast clouds
3,Rikitea,-23.1203,-134.9692,75.04,75,94,12.88,PF,light rain
4,Vila Do Maio,15.1333,-23.2167,79.59,84,85,18.54,CV,overcast clouds
5,Punta Arenas,-53.15,-70.9167,37.51,56,75,9.42,CL,broken clouds
6,Sorland,67.667,12.6934,46.4,93,75,12.66,NO,broken clouds
7,Bethel,41.3712,-73.414,48.0,95,100,1.01,US,light rain
8,San Patricio,28.017,-97.5169,89.69,56,18,14.99,US,few clouds
9,Eureka,40.8021,-124.1637,61.0,77,100,5.01,US,overcast clouds
10,Busselton,-33.65,115.3333,55.09,65,100,14.94,AU,overcast clouds
11,Atuona,-9.8,-139.0333,79.95,61,2,8.01,PF,clear sky
12,Tuktoyaktuk,69.4541,-133.0374,39.2,56,20,11.5,CA,few clouds
13,Hermanus,-34.4187,19.2345,56.89,80,93,5.61,ZA,overcast clouds
14,Flinders,-34.5833,150.8552,54.21,82,0,1.01,AU,clear sky
15,Kapaa,22.0752,-159.319,79.2,71,1,1.01,US,clear sky
16,Khilok,51.3674,110.4676,29.55,72,3,3.18,RU,clear sky
17,Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.99,87,75,3.65,RU,broken clouds
18,Bubaque,11.2833,-15.8333,78.06,75,30,15.08,GW,scattered clouds
19,Karpogory,64.0019,44.4451,36.72,65,16,4.16,RU,few clouds
20,Vaini,-21.2,-175.2,73.56,100,75,3.44,TO,moderate rain
21,Vila,42.0304,-8.1588,75.74,74,21,2.55,PT,few clouds
22,East London,-33.0153,27.9116,52.74,87,0,6.91,ZA,clear sky
23,Polson,47.6936,-114.1632,70.29,50,5,0.63,US,clear sky
24,Marfino,55.7028,37.3822,52.05,43,0,9.95,RU,light rain
25,Dunedin,-45.8742,170.5036,50.81,97,100,10.16,NZ,overcast clouds
26,Starkville,33.4504,-88.8184,75.99,53,1,8.05,US,clear sky
27,Lebu,-37.6167,-73.65,56.52,82,100,10.49,CL,overcast clouds
28,Butaritari,3.0707,172.7902,82.85,77,100,14.92,KI,overcast clouds
29,Port Alfred,-33.5906,26.891,58.35,63,97,8.77,ZA,overcast clouds
30,Dikson,73.5069,80.5464,30.34,93,100,6.71,RU,overcast clouds
31,Yeppoon,-23.1333,150.7333,56.98,88,2,11.3,AU,clear sky
32,Port Elizabeth,-33.918,25.5701,59.09,72,0,8.05,ZA,clear sky
33,Arraial Do Cabo,-22.9661,-42.0278,78.8,73,75,6.91,BR,broken clouds
34,Bathsheba,13.2167,-59.5167,81.21,65,75,19.62,BB,broken clouds
35,Guarapari,-20.6667,-40.4975,85.91,66,93,9.86,BR,overcast clouds
36,Tasiilaq,65.6145,-37.6368,39.36,81,100,13.42,GL,overcast clouds
37,Kodiak,57.79,-152.4072,47.71,87,90,4.61,US,light rain
38,Minot,48.2325,-101.2963,71.82,23,1,23.02,US,clear sky
39,Pindi Bhattian,31.8978,73.273,89.65,32,0,6.55,PK,clear sky
40,Zhangye,38.9342,100.4517,65.79,36,100,2.84,CN,overcast clouds
41,Mataura,-46.1927,168.8643,49.48,98,100,3.11,NZ,light rain
42,Mogadishu,2.0371,45.3438,78.57,87,77,16.49,SO,broken clouds
43,Broken Hill,-31.95,141.4333,42.51,49,5,6.91,AU,clear sky
44,Mahebourg,-20.4081,57.7,73.26,94,40,4.61,MU,scattered clouds
45,Lata,40.1629,-8.3327,73.35,65,56,3.62,PT,broken clouds
46,Hobart,-42.8794,147.3294,41.11,91,66,1.01,AU,broken clouds
47,Bredasdorp,-34.5322,20.0403,51.12,93,44,1.52,ZA,scattered clouds
48,Looc,12.2605,121.9926,81.97,81,90,5.3,PH,overcast clouds
49,Guantanamo,20.1444,-75.2092,86.47,46,17,10.65,CU,few clouds
50,Sinnamary,5.3833,-52.95,81.36,80,91,8.7,GF,overcast clouds
51,Klaksvik,62.2266,-6.589,56.32,92,16,19.15,FO,few clouds
52,Albany,42.6001,-73.9662,48.81,91,100,6.55,US,moderate rain
53,Tiksi,71.6872,128.8694,32.49,94,24,8.59,RU,few clouds
54,Saint-Augustin,51.226,-58.6502,62.76,34,5,10.16,CA,clear sky
55,Melioratorov,57.2107,65.6077,75.2,33,0,6.71,RU,clear sky
56,San Carlos De Bariloche,-41.1456,-71.3082,51.55,62,40,9.35,AR,scattered clouds
57,Jamestown,42.097,-79.2353,59.0,44,1,17.27,US,clear sky
58,Ushuaia,-54.8,-68.3,32.0,100,75,4.61,AR,light snow
59,Novotroitskaya,45.3267,41.5253,65.23,84,8,10.13,RU,clear sky
60,Muros,42.7762,-9.0603,72.0,53,77,10.74,ES,broken clouds
61,Esso,55.9333,158.7,38.3,87,48,3.02,RU,scattered clouds
62,La Ronge,55.1001,-105.2842,62.6,39,32,4.61,CA,scattered clouds
63,Batangafo,7.3008,18.2833,79.65,62,82,1.1,CF,broken clouds
64,Nikolskoye,59.7035,30.7861,53.49,65,0,2.59,RU,clear sky
65,Mehamn,71.0357,27.8492,42.98,93,75,9.22,NO,broken clouds
66,Medina Del Campo,41.3124,-4.9141,82.0,48,99,4.7,ES,overcast clouds
67,Kindu,-2.95,25.95,74.75,63,60,1.39,CD,broken clouds
68,Sorong,-0.8833,131.25,78.98,88,100,13.27,ID,overcast clouds
69,Bhadrachalam,17.6667,80.8833,86.68,60,42,6.42,IN,scattered clouds
70,Tashla,51.7716,52.7427,69.33,64,0,6.42,RU,clear sky
71,Sept-Iles,50.2001,-66.3821,60.8,50,0,8.05,CA,clear sky
72,Carnarvon,-24.8667,113.6333,57.27,94,59,6.91,AU,broken clouds
73,Tougue,11.4667,-11.6,72.46,82,86,6.44,GN,moderate rain
74,Chor,25.5167,69.7667,87.75,60,5,20.13,PK,clear sky
75,Chokurdakh,70.6333,147.9167,54.77,41,25,9.71,RU,scattered clouds
76,Saint-Philippe,-21.3585,55.7679,71.15,85,6,6.29,RE,light rain
77,Gornozavodsk,58.3758,58.3211,46.35,87,100,8.57,RU,overcast clouds
78,Odienne,9.51,-7.5692,78.24,72,95,7.96,CI,light rain
79,Chupa,66.27,33.0549,47.55,65,100,6.76,RU,overcast clouds
80,Cherskiy,68.75,161.3,55.89,39,0,8.1,RU,clear sky
81,Saskylakh,71.9167,114.0833,35.64,89,100,3.42,RU,overcast clouds
82,Puerto Ayora,-0.7393,-90.3518,82.4,54,20,24.16,EC,few clouds
83,Anadyr,64.75,177.4833,41.5,70,0,6.78,RU,clear sky
84,Ulaanbaatar,47.9077,106.8832,35.6,75,0,8.95,MN,clear sky
85,Gogrial,8.5332,28.1004,90.73,32,97,3.58,SS,overcast clouds
86,New Norfolk,-42.7826,147.0587,40.75,88,61,2.89,AU,broken clouds
87,Bahia Honda,22.9036,-83.1592,83.97,60,42,9.22,CU,moderate rain
88,Conakry,9.538,-13.6773,86.07,54,75,11.5,GN,broken clouds
